Frame,Keypoint ID,Keypoint Score,Keypoint Visibility,Keypoint Likelihood,Keypoint Part,Bounding Box,Pose Confidence,X,Y
237,[0.3816616  0.5454851  0.46928272],0.3009896,[0.2998013  0.53724724 0.56372124],[0.306711  0.4867388 0.640497 ],[0.381776   0.47291404 0.6435654 ],"[[0.48147625 0.5408371  0.3083888 ]
 [0.47633764 0.4694634  0.470686  ]
 [0.5859386  0.5363685  0.37338904]
 [0.58793014 0.4805935  0.29664862]]",[0.55986243 0.5250337  0.5364158 ],0.31186068,0.29898316
240,[0.38074788 0.5462661  0.52155983],0.3013993,[0.3017139 0.5382353 0.6336328],[0.30700162 0.48832136 0.6707699 ],[0.37930506 0.4742392  0.62704   ],"[[0.47705156 0.5439848  0.38288382]
 [0.4730442  0.46772116 0.4806088 ]
 [0.5829318  0.532274   0.21525127]
 [0.5844952  0.48165002 0.24334343]]",[0.5562021  0.52457315 0.59077084],0.31361094,0.3001565
241,[0.38065097 0.5467542  0.5314729 ],0.3001858,[0.29994342 0.5389149  0.6043742 ],[0.30604878 0.4895016  0.7018776 ],[0.37921345 0.47443154 0.6249769 ],"[[0.4772392  0.5440939  0.3889487 ]
 [0.47316766 0.46889225 0.46086964]
 [0.58116555 0.5335665  0.22275864]
 [0.5843431  0.48156106 0.2501247 ]]",[0.5580868 0.5245379 0.591176 ],0.31206986,0.29852456
242,[0.3788734  0.5455405  0.50613403],0.30084735,[0.3000569 0.5385021 0.6010964],[0.3062148  0.48918903 0.69933707],[0.3780299  0.4749396  0.61238456],"[[0.47613427 0.5439065  0.39254406]
 [0.46922755 0.46895456 0.4858876 ]
 [0.5793243  0.53768164 0.26096544]
 [0.58117634 0.48192403 0.2590927 ]]",[0.55252653 0.5238242  0.59389627],0.31255427,0.29906517
254,[0.38316074 0.53230447 0.5938664 ],0.30246174,[0.3046143  0.5204262  0.59639144],[0.31037554 0.47169802 0.5665915 ],[0.38664624 0.4572956  0.5863029 ],"[[0.4807538  0.5353717  0.37133673]
 [0.48315293 0.4540535  0.33641964]
 [0.5832494  0.52681327 0.28815177]
 [0.59069276 0.46762913 0.35170594]]",[0.5696159 0.5174876 0.5482031],0.31601173,0.3014147
255,[0.3814608 0.5313314 0.552582 ],0.30272254,[0.3043011  0.5198     0.58031464],[0.30952403 0.47284278 0.61274517],[0.38415834 0.45744336 0.63226485],"[[0.48095113 0.53518075 0.39551696]
 [0.4820525  0.45090887 0.44947585]
 [0.5863167  0.53079957 0.33872932]
 [0.5892788  0.46944258 0.34119564]]",[0.56420887 0.5167667  0.5321405 ],0.31662107,0.30211323
256,[0.38077554 0.5292039  0.46799386],0.3040146,[0.30548188 0.5179005  0.48019096],[0.3101508  0.47019592 0.5285305 ],[0.3843384  0.45603484 0.5972387 ],"[[0.48029009 0.5357025  0.4518768 ]
 [0.47999611 0.44892043 0.46906933]
 [0.58058405 0.527232   0.27083594]
 [0.58309    0.4663408  0.28632048]]",[0.5590516  0.5137143  0.43740508],0.31647035,0.30401686
257,[0.3856448 0.5306126 0.5817555],0.30478242,[0.30623838 0.5177267  0.44334903],[0.31009546 0.47070104 0.39844164],[0.38392752 0.45579174 0.58823204],"[[0.47847444 0.53634065 0.36430556]
 [0.47836185 0.44875276 0.48120767]
 [0.58212245 0.5290151  0.28632408]
 [0.5803736  0.46703988 0.2546016 ]]",[0.55778253 0.5142671  0.42460763],0.31707764,0.30465466
258,[0.38616323 0.53040624 0.5785036 ],0.300843,[0.30433625 0.51726115 0.4120855 ],[0.30813777 0.46910623 0.50869185],[0.3872048  0.45337236 0.4814392 ],"[[0.4828514  0.53280795 0.37989426]
 [0.48281413 0.44951165 0.47357246]
 [0.58304477 0.52678955 0.2564847 ]
 [0.5879612  0.46496794 0.31035504]]",[0.5600224  0.51577824 0.47428477],0.3116245,0.3003363
259,[0.3844689  0.52941334 0.6123868 ],0.30296668,[0.30387467 0.51610214 0.5483023 ],[0.3097362  0.46780697 0.45594174],[0.38560453 0.45416394 0.523816  ],"[[0.47813138 0.533189   0.36395535]
 [0.4809301  0.45000824 0.4948037 ]
 [0.5822409  0.525706   0.22882263]
 [0.5838834  0.46594954 0.25637382]]",[0.55667204 0.5154955  0.4052971 ],0.3154687,0.30230448
260,[0.38524258 0.5280409  0.64416504],0.30404985,[0.30474043 0.5152837  0.5739312 ],[0.3105855  0.46629453 0.38681003],[0.3860903  0.45324048 0.499761  ],"[[0.47937304 0.5308619  0.396879  ]
 [0.47951773 0.4496057  0.43326592]
 [0.5828334  0.5262598  0.23151426]
 [0.57815784 0.45917156 0.25672385]]",[0.5584954  0.51558816 0.43895435],0.3171489,0.30352974
261,[0.38679868 0.52701783 0.6602252 ],0.3035033,[0.3044919  0.51288104 0.6509501 ],[0.3094715  0.46442467 0.5449095 ],[0.38444906 0.45297915 0.390197  ],"[[0.48070177 0.5293876  0.28435585]
 [0.48354787 0.44889936 0.38786384]
 [0.584854   0.5225297  0.21358524]
 [0.58249754 0.4577806  0.23104507]]",[0.56235945 0.51234484 0.4362498 ],0.31650165,0.3027893
262,[0.3852923  0.52463657 0.68933   ],0.3014386,[0.30205637 0.5111293  0.6842204 ],[0.30755222 0.46233833 0.633313  ],[0.3860975  0.45116368 0.41189516],"[[0.4801161  0.5257576  0.38213137]
 [0.48119164 0.44812757 0.3831257 ]
 [0.5816787  0.5179077  0.23363556]
 [0.58455837 0.45705837 0.20051359]]",[0.56095177 0.5156266  0.5128692 ],0.31216636,0.29957068
263,[0.3878396 0.5236931 0.6888422],0.30093044,[0.3019743 0.5112256 0.6629389],[0.3073817  0.46116516 0.6831053 ],[0.38971397 0.449272   0.4195076 ],"[[0.4857522  0.52330774 0.32820803]
 [0.49030396 0.44727772 0.44988045]
 [0.5852575  0.5225913  0.23314025]
 [0.58967304 0.4554761  0.21157002]]",[0.56657904 0.51747745 0.59876883],0.31189466,0.29933608
264,[0.387221   0.52321833 0.7070408 ],0.30204,[0.30324888 0.50907737 0.67255306],[0.30941013 0.46007818 0.6694765 ],[0.38667732 0.4497553  0.46484452],"[[0.48203942 0.5259707  0.35166693]
 [0.48952383 0.44702768 0.42402607]
 [0.5822568  0.52198976 0.26047137]
 [0.58709836 0.4566245  0.2038651 ]]",[0.56972516 0.5178721  0.6013832 ],0.31298772,0.3003982
265,[0.38687363 0.52182674 0.73716164],0.30236804,[0.30471358 0.50766164 0.64175093],[0.3096601  0.45925483 0.67367435],[0.39053044 0.44791853 0.49189994],"[[0.48139942 0.52453923 0.36072993]
 [0.4832415  0.44676986 0.36669317]
 [0.5840832  0.5213895  0.29435042]
 [0.5836137  0.45707098 0.25698194]]",[0.5644343 0.5159178 0.5932673],0.31362376,0.3012255
266,[0.38424054 0.51862407 0.65799236],0.30129427,[0.30398422 0.5044732  0.58307135],[0.3098644  0.45879877 0.661893  ],[0.3888702  0.4461017  0.55913454],"[[0.47898328 0.5219738  0.3647805 ]
 [0.47999144 0.44269216 0.46799898]
 [0.5687096  0.51874983 0.23943338]
 [0.57974654 0.457827   0.21773933]]",[0.55927736 0.51248246 0.5271076 ],0.3124275,0.29998988
